id,link,bedrooms,bathrooms,area_m2,price,date,condition,location,latitude,longitude
P1753731240_0,https://www.fincaraiz.com.co/casa-en-venta-en-colsag-cucuta/11082191,6,7,305,800.000.000,2025-07-28 14:34:00.421867,Usado,"Colsag, Cúcuta, Norte de santander",7.89336,-72.48755
P1753731242_1,https://www.fincaraiz.com.co/casa-en-venta-en-callejon-cucuta/11082076,6,4,364,400.000.000,2025-07-28 14:34:02.503002,Usado,"Callejon, Cúcuta, Norte de santander",7.893880737511,-72.510921238161
P1753731244_2,https://www.fincaraiz.com.co/casa-en-venta-en-aeropuerto-cucuta/11082103,2,2,90,180.000.000,2025-07-28 14:34:04.992912,Usado,"Aeropuerto, Cúcuta, Norte de santander",7.925976402931,-72.505799240078
P1753731247_3,https://www.fincaraiz.com.co/casa-en-venta-en-san-martin-ii-cucuta/11082493,3,1,120,280.000.000,2025-07-28 14:34:07.951059,Usado,"San martin ii, Cúcuta, Norte de santander",7.9034400442166,-72.475024933217
P1753731250_4,https://www.fincaraiz.com.co/casa-en-venta-en-la-ceiba-cucuta/191357376,3,3,210,520.000.000,2025-07-28 14:34:10.667646,Usado,"La ceiba, Cúcuta, Norte de santander",7.8932850122886,-72.49668997363
P1753731253_5,https://www.fincaraiz.com.co/casa-en-venta-en-motilones-cucuta/11082320,7,4,270,350.000.000,2025-07-28 14:34:13.056712,Usado,"Motilones, Cúcuta, Norte de santander",7.9172998434842,-72.522400907185
P1753731255_6,https://www.fincaraiz.com.co/casa-en-venta-en-sevilla-cucuta/11082458,4,3,12508,800.000.000,2025-07-28 14:34:15.121040,Usado,"Sevilla, Cúcuta, Norte de santander",7.8975899912923,-72.502447207444
P1753731257_7,https://www.fincaraiz.com.co/casa-en-venta-en-la-playa-cucuta/191454001,5,2,325,900.000.000,2025-07-28 14:34:17.625815,Usado,"La playa, Cúcuta, Norte de santander",7.8909617,-72.4842484
P1753731260_8,https://www.fincaraiz.com.co/casa-en-venta-en-cucuta/191692277,4,4,90,380.000.000,2025-07-28 14:34:20.512350,Usado,"Cúcuta, Norte de santander",7.915254001466,-72.487980002765
P1753731262_9,https://www.fincaraiz.com.co/casa-en-venta-en-la-riviera-cucuta/191546210,3,2,244,800.000.000,2025-07-28 14:34:22.602123,Usado,"La riviera, Cúcuta, Norte de santander",7.891710296112,-72.492370046927
